"interquantile_width","cluster","seqnames","start","end","GENEID","tpm","sample"
8,1,"chr1",15955,15962,ENSDART00000013209,16.4461498439346,"merged_samples"
42,4,"chr1",53536,53577,ENSDART00000152205,13.8180530727709,"merged_samples"
31,6,"chr1",53732,53793,ENSDART00000152205,208.522876398322,"merged_samples"
3,7,"chr1",53845,53847,ENSDART00000152205,12.3398065876117,"merged_samples"
17,11,"chr1",101905,101951,ENSDART00000153395,291.317974440829,"merged_samples"
17,11,"chr1",101905,101951,ENSDART00000153285,291.317974440829,"merged_samples"
17,11,"chr1",101905,101951,ENSDART00000153301,291.317974440829,"merged_samples"
17,11,"chr1",101905,101951,ENSDART00000153139,291.317974440829,"merged_samples"
17,11,"chr1",101905,101951,ENSDART00000003317,291.317974440829,"merged_samples"
13,12,"chr1",101972,101990,ENSDART00000153395,62.2183259965389,"merged_samples"
13,12,"chr1",101972,101990,ENSDART00000153285,62.2183259965389,"merged_samples"
13,12,"chr1",101972,101990,ENSDART00000153301,62.2183259965389,"merged_samples"
13,12,"chr1",101972,101990,ENSDART00000153139,62.2183259965389,"merged_samples"
13,12,"chr1",101972,101990,ENSDART00000003317,62.2183259965389,"merged_samples"
13,12,"chr1",101972,101990,ENSDART00000153202,62.2183259965389,"merged_samples"
34,17,"chr1",134681,134766,ENSDART00000092584,540.567863948978,"merged_samples"
34,17,"chr1",134681,134766,ENSDART00000111806,540.567863948978,"merged_samples"
34,17,"chr1",134681,134766,ENSDART00000139438,540.567863948978,"merged_samples"
45,37,"chr1",293551,293621,ENSDART00000152173,451.611916695901,"merged_samples"
45,37,"chr1",293551,293621,ENSDART00000112730,451.611916695901,"merged_samples"
17,40,"chr1",368978,369000,ENSDART00000108579,53.0687182169963,"merged_samples"
17,40,"chr1",368978,369000,ENSDART00000146732,53.0687182169963,"merged_samples"
27,41,"chr1",369023,369061,ENSDART00000108579,475.982438559567,"merged_samples"
27,41,"chr1",369023,369061,ENSDART00000146732,475.982438559567,"merged_samples"
20,45,"chr1",388683,388710,ENSDART00000109083,56.7021434043065,"merged_samples"
20,45,"chr1",388683,388710,ENSDART00000081945,56.7021434043065,"merged_samples"
20,45,"chr1",388683,388710,ENSDART00000132385,56.7021434043065,"merged_samples"
19,46,"chr1",399388,399415,ENSDART00000102421,337.835356845075,"merged_samples"
