"interquantile_width","cluster","seqnames","start","end","GENEID","tpm","sample"
21,1,"chr1",4797953,4797990,18777,109.722403810989,"whole_body__embryo_E11"
11,3,"chr1",4847857,4847872,21399,68.7549306137249,"whole_body__embryo_E11"
29,4,"chr1",5073192,5073235,108664,56.8975354229624,"whole_body__embryo_E11"
7,5,"chr1",6204744,6204750,12421,12.9197841109425,"whole_body__embryo_E11"
51,11,"chr1",9535488,9535547,59014,66.3837233340113,"whole_body__embryo_E11"
38,16,"chr1",12682576,12682613,240725,19.1396435893911,"whole_body__embryo_E11"
19,19,"chr1",15795727,15795745,21749,58.5134843113136,"whole_body__embryo_E11"
19,22,"chr1",16655281,16655299,70397,10.5295653000401,"whole_body__embryo_E11"
11,23,"chr1",16655330,16655340,70397,10.9649669422362,"whole_body__embryo_E11"
24,28,"chr1",19199228,19199251,21419,20.7067099258796,"whole_body__embryo_E11"
2,30,"chr1",19202353,19202354,21419,10.9806259681394,"whole_body__embryo_E11"
21,34,"chr1",24202082,24202103,12839,12.9328967526092,"whole_body__embryo_E11"
3,36,"chr1",33776755,33776757,19335,11.9112385471428,"whole_body__embryo_E11"
29,39,"chr1",34496714,34496743,27993,24.4240854470851,"whole_body__embryo_E11"
4,42,"chr1",36125223,36125231,50785,34.6314751110357,"whole_body__embryo_E11"
14,47,"chr1",36748379,36748396,12859,164.603446348484,"whole_body__embryo_E11"
26,50,"chr1",37487027,37487052,67387,12.1435571302534,"whole_body__embryo_E11"
7,51,"chr1",37947371,37947381,107734,36.8423213114742,"whole_body__embryo_E11"
37,52,"chr1",38054950,38055005,226982,129.594472303695,"whole_body__embryo_E11"
7,57,"chr1",39044638,39044664,68833,64.4880382283877,"whole_body__embryo_E11"
14,58,"chr1",39424756,39424769,114641,16.6122191947308,"whole_body__embryo_E11"
11,59,"chr1",39592626,39592636,52846,14.1664937618501,"whole_body__embryo_E11"
49,61,"chr1",39957735,39957803,26921,184.59720653629,"whole_body__embryo_E11"
19,65,"chr1",42908109,42908128,69527,57.4362801338212,"whole_body__embryo_E11"
61,68,"chr1",43990829,43990903,22019,97.803384098989,"whole_body__embryo_E11"
8,69,"chr1",44204754,44204761,22592,11.8654983058972,"whole_body__embryo_E11"
36,72,"chr1",44608504,44608539,70676,19.8162426349951,"whole_body__embryo_E11"
5,73,"chr1",45368445,45368482,12825,134.759358366117,"whole_body__embryo_E11"
12,75,"chr1",45852337,45852355,73674,68.9516538396047,"whole_body__embryo_E11"
7,81,"chr1",52901882,52901895,227095,35.5283928041319,"whole_body__embryo_E11"
34,85,"chr1",55109682,55109715,67876,12.7238191952265,"whole_body__embryo_E11"
36,87,"chr1",55145133,55145210,15528,890.219455881688,"whole_body__embryo_E11"
30,88,"chr1",55188104,55188141,19070,89.549169686081,"whole_body__embryo_E11"
14,90,"chr1",57463597,57463611,68115,27.5912719899474,"whole_body__embryo_E11"
35,92,"chr1",58052861,58052895,68549,31.2063956558203,"whole_body__embryo_E11"
18,93,"chr1",58449955,58449996,66882,311.400673340893,"whole_body__embryo_E11"
17,95,"chr1",58643443,58643464,66495,87.5764922004866,"whole_body__embryo_E11"
17,99,"chr1",59538986,59539005,14369,35.9670084170714,"whole_body__embryo_E11"
34,100,"chr1",59741799,59741856,55989,259.274550795812,"whole_body__embryo_E11"
5,107,"chr1",59969824,59969828,72750,21.7776907169177,"whole_body__embryo_E11"
10,108,"chr1",59969849,59969858,72750,14.3432229461325,"whole_body__embryo_E11"
20,113,"chr1",60466514,60466533,329165,24.4446122398706,"whole_body__embryo_E11"
6,119,"chr1",62749962,62749968,18187,36.256430756076,"whole_body__embryo_E11"
3,125,"chr1",63319842,63319844,73884,26.047648954004,"whole_body__embryo_E11"
