"interquantile_width","cluster","seqnames","start","end","GENEID","tpm","sample"
24,3,"chr1",4797953,4798004,18777,702.023925001848,"merged_samples"
2,4,"chr1",4847774,4847775,21399,18.4084805713788,"merged_samples"
12,5,"chr1",4847853,4847872,21399,361.380674776998,"merged_samples"
36,6,"chr1",5073171,5073237,108664,535.20080940722,"merged_samples"
50,7,"chr1",6204721,6204786,12421,178.983094428736,"merged_samples"
5,8,"chr1",6720223,6720227,240690,29.5403692647364,"merged_samples"
12,10,"chr1",7079032,7079043,319263,30.0884056312654,"merged_samples"
1,11,"chr1",7079065,7079065,319263,14.9499872600325,"merged_samples"
34,12,"chr1",7079087,7079120,319263,42.958555561934,"merged_samples"
9,13,"chr1",7079143,7079151,319263,18.3431074169659,"merged_samples"
4,14,"chr1",7079250,7079253,319263,13.2924820074556,"merged_samples"
52,15,"chr1",9535487,9535557,59014,361.681256762348,"merged_samples"
21,16,"chr1",9538154,9538174,76187,89.9838244487064,"merged_samples"
5,18,"chr1",9788265,9788269,170755,24.6764394467146,"merged_samples"
2,21,"chr1",10983543,10983544,109294,14.0662677912045,"merged_samples"
30,23,"chr1",12682519,12682554,240725,91.500891875153,"merged_samples"
38,24,"chr1",12682576,12682630,240725,155.995304581283,"merged_samples"
3,25,"chr1",12682659,12682661,240725,12.4774149995926,"merged_samples"
2,26,"chr1",12708585,12708586,240725,15.5940179538768,"merged_samples"
19,30,"chr1",15795709,15795751,21749,334.515306981091,"merged_samples"
50,33,"chr1",16655277,16655340,70397,282.186924788292,"merged_samples"
2,34,"chr1",16678514,16678515,17087,13.3078126750091,"merged_samples"
19,35,"chr1",17135468,17135489,14545,59.0957539862628,"merged_samples"
4,37,"chr1",17591982,17591985,94227,20.9194044920175,"merged_samples"
3,38,"chr1",17717133,17717135,83691,16.8853961971765,"merged_samples"
4,41,"chr1",17717495,17717501,83691,72.6277077967819,"merged_samples"
21,44,"chr1",19199109,19199129,21419,19.5317876705073,"merged_samples"
8,45,"chr1",19199159,19199166,21419,22.0614268263766,"merged_samples"
24,47,"chr1",19199228,19199252,21419,87.0315214579339,"merged_samples"
2,49,"chr1",19202352,19202354,21419,39.7383647373288,"merged_samples"
3,52,"chr1",20880689,20880691,74229,23.9611044117845,"merged_samples"
17,53,"chr1",21230684,21230703,14859,246.959630148726,"merged_samples"
12,56,"chr1",24184533,24184545,12839,157.832199639111,"merged_samples"
22,57,"chr1",24202080,24202103,12839,101.551101678298,"merged_samples"
16,59,"chr1",24685571,24685586,68421,36.7105127181912,"merged_samples"
10,61,"chr1",33776723,33776732,19335,15.2699749640589,"merged_samples"
19,62,"chr1",33776754,33776785,19335,76.4498408752232,"merged_samples"
20,65,"chr1",34062725,34062744,13518,28.9092171819114,"merged_samples"
12,66,"chr1",34068413,34068442,13518,103.671227270179,"merged_samples"
8,67,"chr1",34217103,34217111,13518,74.8065216003826,"merged_samples"
31,68,"chr1",34496705,34496750,27993,214.480138195997,"merged_samples"
11,69,"chr1",34529575,34529590,19253,54.4961783620504,"merged_samples"
13,71,"chr1",34858574,34858586,226970,10.5627121830264,"merged_samples"
30,72,"chr1",34906818,34906849,226971,101.268287873844,"merged_samples"
10,73,"chr1",36125191,36125200,50785,12.1446243448339,"merged_samples"
6,74,"chr1",36125221,36125231,50785,385.670497210705,"merged_samples"
3,75,"chr1",36364598,36364600,214855,34.2485181929705,"merged_samples"
3,76,"chr1",36528441,36528443,94220,27.6644152650552,"merged_samples"
22,78,"chr1",36568721,36568743,94218,53.9492700950303,"merged_samples"
3,79,"chr1",36748326,36748328,12859,12.4882014181915,"merged_samples"
