"interquantile_width","cluster","seqnames","start","end","GENEID","tpm","sample"
24,1,"chr1",4797953,4798004,18777,145.18328941038,"adrenal_gland__adult"
13,2,"chr1",4847857,4847872,21399,42.7929569346713,"adrenal_gland__adult"
40,3,"chr1",5073177,5073244,108664,216.102057180531,"adrenal_gland__adult"
20,5,"chr1",6204721,6204750,12421,29.9925767337883,"adrenal_gland__adult"
39,10,"chr1",7079021,7079070,319263,10.3743602027441,"adrenal_gland__adult"
18,11,"chr1",7079096,7079120,319263,17.9013392179746,"adrenal_gland__adult"
9,12,"chr1",7079143,7079153,319263,10.7495837013266,"adrenal_gland__adult"
43,14,"chr1",7079217,7079276,319263,36.6342563815364,"adrenal_gland__adult"
28,17,"chr1",9538133,9538177,76187,108.444109565619,"adrenal_gland__adult"
31,28,"chr1",12682576,12682613,240725,11.7020718799088,"adrenal_gland__adult"
12,31,"chr1",15795727,15795745,21749,21.0999982819039,"adrenal_gland__adult"
59,33,"chr1",16655277,16655340,70397,93.207886785003,"adrenal_gland__adult"
34,34,"chr1",16678494,16678546,17087,36.4265885948194,"adrenal_gland__adult"
45,35,"chr1",17135444,17135497,14545,12.2292795271472,"adrenal_gland__adult"
42,42,"chr1",20880650,20880693,74229,80.6398601589294,"adrenal_gland__adult"
17,44,"chr1",21230667,21230703,14859,37.3818265458396,"adrenal_gland__adult"
16,46,"chr1",24685397,24685418,68421,11.4614898717798,"adrenal_gland__adult"
16,49,"chr1",24685571,24685586,68421,57.6635976613312,"adrenal_gland__adult"
10,52,"chr1",34062725,34062745,13518,10.0655254701884,"adrenal_gland__adult"
3,53,"chr1",34068422,34068442,13518,12.1695890256975,"adrenal_gland__adult"
30,57,"chr1",34496712,34496746,27993,36.4212670149756,"adrenal_gland__adult"
7,58,"chr1",34529580,34529586,19253,14.1935404459551,"adrenal_gland__adult"
46,60,"chr1",34858562,34858613,226970,10.5938370889558,"adrenal_gland__adult"
